병원명,업무구분,대표전화,주소,위도,경도,월요일 진료,화요일 진료,수요일 진료,목요일 진료,금요일 진료,토요일 진료,일요일 진료,공휴일 진료,일요일진료,데이터기준일자
박승철내과의원,응급의료기관 이외 > 의원,031-438-1175,경기도 안산시 상록구 부곡로 128 (부곡동),37.3331122,126.8638088,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-,,2020-09-25
고잔e-편한치과의원,응급의료기관 이외 > 치과의원,031-419-2875,"경기도 안산시 상록구 광덕1로 366, 204호 (이동, 로진메디칼)",37.3073697,126.850517,10:00~20:00,10:00~19:00,10:00~20:00,10:00~19:00,10:00~19:00,10:00~13:00,-,-,,2020-09-25
원의료소비자생활협동조합감골치과의원,응급의료기관 이외 > 치과의원,031-502-2262,"경기도 안산시 상록구 감골1로 35, 101,102호 (사동)",37.2871722,126.8535192,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~14:00,-,-,,2020-09-25
누가의원,응급의료기관 이외 > 의원,031-419-4870,경기도 안산시 상록구 각골로 70 (본오동),37.2957198,126.8729456,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,,2020-09-25
강현부부치과의원,응급의료기관 이외 > 치과의원,031-407-2211,"경기도 안산시 상록구 반석로 20, 롯데마트3층 (본오동)",37.2965693,126.8619067,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~13:00,-,-,,2020-09-25
서울의원,응급의료기관 이외 > 의원,031-437-9437,"경기도 안산시 상록구 건건3길 5, 401호 (건건동, 센타프라자)",37.3044108,126.9022037,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,09:00~12:30,,2020-09-25
JW의원,응급의료기관 이외 > 의원,031-408-1540,경기도 안산시 상록구 샘골로 131 (본오동),37.2955476,126.8627714,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,,2020-09-25
반월원광한의원,응급의료기관 이외 > 한의원,031-502-7399,"경기도 안산시 상록구 건건3길 5, 404호 (건건동, 센타프라자)",37.3044108,126.9022037,09:30~19:00,09:30~20:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~13:00,-,-,,2020-09-25
안산인한의원,응급의료기관 이외 > 한의원,031-415-7575,"경기도 안산시 상록구 석호로 294, 2층 (본오동)",37.2932951,126.8632576,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~16:00,-,-,,2020-09-25
정인치과의원,응급의료기관 이외 > 치과의원,031-438-8575,"경기도 안산시 상록구 성호로 96, 1층 (일동)",37.3133384,126.8630653,09:30~18:00,09:30~18:00,09:30~20:00,09:30~18:00,09:30~18:00,09:30~13:00,-,-,,2020-09-25
선치과의원,응급의료기관 이외 > 치과의원,031-401-5404,경기도 안산시 상록구 예술광장1로 48 (월피동),37.3291737,126.8472394,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~14:00,-,-,,2020-09-25
수암치과의원,응급의료기관 이외 > 치과의원,031-480-2877,경기도 안산시 상록구 수인로 2016,37.3631532,126.8763257,10:00~18:30,10:00~20:00,10:00~18:30,10:00~18:30,10:00~18:30,10:00~14:00,-,-,,2020-09-25
우리가족의원,응급의료기관 이외 > 의원,031-482-3211,경기도 안산시 상록구 본오로 124 (본오동),37.2960173,126.8668337,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~17:00,-,09:00~17:00,,2020-09-25
본한의원,응급의료기관 이외 > 한의원,031-417-1075,"경기도 안산시 상록구 안산대학로 108, 3층 (일동, 웰빙타워)",37.3096339,126.8699087,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,,2020-09-25
조한의원,응급의료기관 이외 > 한의원,031-406-1017,"경기도 안산시 상록구 샘골로 147, 204호 (본오동)",37.2969169,126.862823,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~16:00,-,-,,2020-09-25
우리안신경외과의원,응급의료기관 이외 > 의원,031-484-7777,"경기도 안산시 상록구 용신로 364 (본오동, 203~204,301~306호)",37.3014426,126.8623239,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,,2020-09-25
고외과의원,응급의료기관 이외 > 의원,031-502-8100,"경기도 안산시 상록구 선진4길 39-1, 1~4층 (사동)",37.2801935,126.8517678,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,09:00~13:00,09:00~13:00,Y,2020-09-25
스마일내과의원,응급의료기관 이외 > 의원,031-409-0900,"경기도 안산시 상록구 광덕1로 366, 304~305호 (이동, 로진메디칼)",37.3073697,126.850517,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-,,2020-09-25
참경희한의원,응급의료기관 이외 > 한의원,031-416-9875,경기도 안산시 상록구 항가울로 35 (사동),37.2850875,126.8470699,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~12:00,-,-,,2020-09-25
손한의원,응급의료기관 이외 > 한의원,031-409-8856,"경기도 안산시 상록구 부곡로 124 (부곡동, 부곡프라자)",37.3328669,126.8636261,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,,2020-09-25
효성한의원,응급의료기관 이외 > 한의원,031-408-7576,"경기도 안산시 상록구 부곡로 135, 3층 (부곡동, 제일빌딩)",37.3339277,126.8639105,09:30~19:00,09:30~20:30,09:30~19:00,09:30~15:00,09:30~19:00,09:30~15:00,-,-,,2020-09-25
다홍한의원,응급의료기관 이외 > 한의원,031-406-3324,"경기도 안산시 상록구 해양1로 15, 2층 202, 208, 209호 (사동, 안산고잔6차푸르지오 상가동)",37.2955646,126.8234831,09:30~20:30,09:30~20:30,09:30~20:30,14:00~18:30,09:30~20:30,09:30~14:00,-,-,,2020-09-25
성제한의원,응급의료기관 이외 > 한의원,031-418-3111,경기도 안산시 상록구 감골2로 11 (사동),37.290158,126.8540513,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,10:00~16:00,-,-,,2020-09-25
최비뇨기과의원,응급의료기관 이외 > 의원,031-418-0095,경기도 안산시 상록구 용신로 393 (본오동),37.3018474,126.865907,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~15:00,-,-,,2020-09-25
조병섭내과의원,응급의료기관 이외 > 의원,031-411-5119,경기도 안산시 상록구 화랑로 523 (성포동),37.3205326,126.8460378,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~16:30,-,-,,2020-09-25
현제의원,응급의료기관 이외 > 의원,031-419-5377,"경기도 안산시 상록구 초당로 52, 2층 (사동)",37.2846029,126.8532108,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,,2020-09-25
서정열이비인후과의원,응급의료기관 이외 > 의원,031-409-9140,경기도 안산시 상록구 용신로 382 (본오동),37.3013728,126.8643463,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~14:00,-,-,,2020-09-25
참사랑의원,응급의료기관 이외 > 의원,031-502-4077,경기도 안산시 상록구 부곡로 28 (부곡동),37.3249618,126.8597557,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,,2020-09-25
수암성가의원,응급의료기관 이외 > 의원,031-485-2545,"경기도 안산시 상록구 수암1길 7 (수암동, 선경탑스빌2차)",37.3633129,126.8768167,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-,,2020-09-25
하나가정의원,응급의료기관 이외 > 의원,031-409-7870,"경기도 안산시 상록구 영화6길 25, 2층 (사동)",37.2806044,126.8521337,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,,2020-09-25
연세가정의학과의원,응급의료기관 이외 > 의원,031-419-7286,경기도 안산시 상록구 본삼로 38 (본오동),37.2998222,126.865105,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,,2020-09-25
김소강치과의원,응급의료기관 이외 > 치과의원,031-486-1435,경기도 안산시 상록구 화랑로 528 (성포동),37.3193376,126.8475927,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~14:00,-,-,,2020-09-25
만인마취통증의학과의원,응급의료기관 이외 > 의원,031-502-0644,"경기도 안산시 상록구 샘골로 153, 201-1호 (본오동)",37.297549,126.8628721,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,,2020-09-25
임신경외과의원,응급의료기관 이외 > 의원,031-491-4500,"경기도 안산시 상록구 예술광장로 35, 5층 501호 (월피동)",37.3280631,126.8477382,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,,2020-09-25
상치과의원,응급의료기관 이외 > 치과의원,031-482-2772,"경기도 안산시 상록구 화랑로 495 (성포동, 예술인아파트)",37.321757,126.844017,09:30~18:30,09:30~18:30,09:30~18:30,14:00~18:30,09:30~18:30,09:30~14:00,-,-,,2020-09-25
세란치과의원,응급의료기관 이외 > 치과의원,031-484-0073,경기도 안산시 상록구 화랑로 514 (성포동),37.3201219,126.8448628,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~16:00,-,-,,2020-09-25
김영윤치과의원,응급의료기관 이외 > 치과의원,031-416-2175,"경기도 안산시 상록구 본오로 91, 2층 (본오동)",37.2932164,126.8662317,10:00~20:00,10:00~19:00,10:00~20:00,10:00~19:00,10:00~19:00,10:00~14:00,-,-,,2020-09-25
현치과의원,응급의료기관 이외 > 치과의원,031-487-1586,"경기도 안산시 상록구 예술광장1로 16, 304호 (월피동, 칠성프라자)",37.3289781,126.8442948,09:30~18:30,09:30~18:30,09:30~20:30,09:30~18:30,09:30~18:30,09:30~13:00,-,-,,2020-09-25
이튼치과의원,응급의료기관 이외 > 치과의원,031-438-2080,경기도 안산시 상록구 일동로 24 (일동),37.3099184,126.869126,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~13:00,-,-,,2020-09-25
으뜸치과의원,응급의료기관 이외 > 치과의원,031-487-2875,"경기도 안산시 상록구 예술광장로 63, 203호 (성포동, 성포프라자)",37.3267006,126.8453225,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~14:00,-,-,,2020-09-25
수암한의원,응급의료기관 이외 > 한의원,031-484-7511,경기도 안산시 상록구 수암1길 3 (수암동),37.3633535,126.8763521,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~20:00,09:30~14:00,-,-,,2020-09-25
김성수한의원,응급의료기관 이외 > 한의원,031-409-0079,경기도 안산시 상록구 본삼로 60 (본오동),37.2998222,126.865105,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~17:00,-,10:00~17:00,,2020-09-25
사랑한의원,응급의료기관 이외 > 한의원,031-414-2214,경기도 안산시 상록구 월피로 22,37.3309216,126.8502785,09:00~19:00,09:00~19:00,09:00~19:00,-,09:00~19:00,09:00~16:00,-,09:00~18:00,,2020-09-25
상록한의원,응급의료기관 이외 > 한의원,031-406-5999,"경기도 안산시 상록구 석호로 102 (사동, 2~4층)",37.302306,126.8469796,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,10:00~15:00,,2020-09-25
늘푸른마취통증의학과의원,응급의료기관 이외 > 의원,031-419-0750,"경기도 안산시 상록구 본삼로 51, 204호 (본오동)",37.301036,126.8658662,09:00~19:00,09:00~19:00,-,09:00~19:00,09:00~19:00,09:00~14:00,-,09:00~14:00,,2020-09-25
365장편한호내과의원,응급의료기관 이외 > 의원,031-502-0365,"경기도 안산시 상록구 샘골로 150, 동성빌딩 202,203호 (본오동)",37.3045412,126.8463621,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,09:00~13:00,09:00~13:00,Y,2020-09-25
홍기정이비인후과의원,응급의료기관 이외 > 의원,031-487-2666,"경기도 안산시 상록구 예술광장1로 126, 202호 (성포동, (경동프라자))",37.3269228,126.8440171,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:00,-,-,,2020-09-25
고려한의원,응급의료기관 이외 > 한의원,031-410-0333,경기도 안산시 상록구 예술광장1로 126 (성포동),37.3268901,126.8441533,09:30~18:30,09:30~18:30,09:30~18:30,14:00~18:30,09:30~18:30,09:30~15:00,-,-,,2020-09-25
경희강한의원,응급의료기관 이외 > 한의원,031-385-0282,"경기도 안산시 상록구 화랑로 513, 311, 314, 316호 (성포동, 예술인아파트 스타프라자)",37.320646,126.844739,10:00~19:00,10:00~21:00,10:00~19:00,10:00~21:00,10:00~19:00,09:30~14:00,-,-,,2020-09-25
이-믿음치과의원,응급의료기관 이외 > 치과의원,031-439-2877,"경기도 안산시 상록구 샘골로 152 (본오동, 2층)",37.2973889,126.8633764,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~15:00,-,-,,2020-09-25
김성봉내과의원,응급의료기관 이외 > 의원,031-409-2020,경기도 안산시 상록구 용신로 393 (본오동),37.3018474,126.865907,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,,2020-09-25
닥터스마일치과의원,응급의료기관 이외 > 치과의원,031-415-7522,"경기도 안산시 상록구 용신로 394, 서해프라자 4층 (본오동)",37.3013326,126.8658787,10:00~19:00,10:00~21:00,10:00~19:00,10:00~21:00,10:00~19:00,10:00~14:00,-,-,,2020-09-25
바른수치과의원,응급의료기관 이외 > 치과의원,031-408-2879,"경기도 안산시 상록구 본오로 124, 302호 (본오동)",37.2960173,126.8668337,10:00~18:30,10:00~20:30,10:00~18:30,10:00~20:30,10:00~18:30,10:00~14:00,-,-,,2020-09-25
오복한의원,응급의료기관 이외 > 한의원,031-438-7582,경기도 안산시 상록구 본오로 89-1 (본오동),37.293111,126.8662333,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,,2020-09-25
감골한의원,응급의료기관 이외 > 한의원,031-502-1175,"경기도 안산시 상록구 석호로 184, 201호 (사동)",37.2959969,126.8517194,10:00~20:00,10:00~19:00,10:00~19:00,10:00~20:00,10:00~19:00,09:30~14:00,-,-,,2020-09-25
반월보건지소,응급의료기관 이외 > 보건지소,031-481-3767,"경기도 안산시 상록구 건건로 119-4 (건건동, 반월보건지소)",37.3120544,126.9044411,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,,2020-09-25
월피한의원,응급의료기관 이외 > 한의원,031-402-7582,"경기도 안산시 상록구 예술광장로 25, 풍전빌딩 3층 (월피동)",37.3288918,126.8469763,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,,2020-09-25
자연치유한의원,응급의료기관 이외 > 한의원,031-403-4075,"경기도 안산시 상록구 월피로 55, 4층 (월피동)",37.3335685,126.8505101,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~16:00,-,-,,2020-09-25
서울정형외과의원,응급의료기관 이외 > 의원,031-437-5661,"경기도 안산시 상록구 석호로 162-1, 1~4층 (사동)",37.2973565,126.849849,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,09:00~15:00,09:00~15:00,Y,2020-09-25
진솔한의원,응급의료기관 이외 > 한의원,031-408-1175,"경기도 안산시 상록구 도매시장로 92-1, 1층 (일동)",37.3137322,126.8634451,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,,2020-09-25
B.M산부인과의원,응급의료기관 이외 > 의원,031-501-0660,"경기도 안산시 상록구 광덕1로 376, 4층 (이동, 한대빌딩)",37.3077308,126.8510169,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~14:00,09:30~13:00,09:30~13:00,Y,2020-09-25
강외과의원,응급의료기관 이외 > 의원,031-406-8275,"경기도 안산시 상록구 반석로 54, 신안프라자 301호 (본오동)",37.2964825,126.8657103,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,-,-,,2020-09-25
마성호내과의원,응급의료기관 이외 > 의원,031-416-5537,"경기도 안산시 상록구 고목로3길 25, 2층 (본오동)",37.2849861,126.8594807,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,,2020-09-25
21세기의원,응급의료기관 이외 > 의원,031-419-8181,"경기도 안산시 상록구 샘골로 142 (본오동, 동보프라자)",37.386463,126.9441157,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~16:00,-,09:00~13:30,,2020-09-25
다나치과의원,응급의료기관 이외 > 치과의원,031-409-2875,"경기도 안산시 상록구 정동1길 2 (팔곡일동, 예일빌딩)",37.3202014,126.8442395,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,10:00~14:00,-,-,,2020-09-25
미소래치과의원,응급의료기관 이외 > 치과의원,031-406-3497,"경기도 안산시 상록구 반석로 54, 309호 (본오동, 신안프라자)",37.2964825,126.8657103,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~14:00,-,-,,2020-09-25
김상후이비인후과의원,응급의료기관 이외 > 의원,031-485-8575,"경기도 안산시 상록구 예술광장1로 16, 404~405호 (월피동, 칠성프라자)",37.3289781,126.8442948,09:00~18:30,09:00~18:30,09:00~18:30,14:00~18:30,09:00~18:30,09:00~14:00,-,-,,2020-09-25
굿치과의원,응급의료기관 이외 > 치과의원,031-486-2755,"경기도 안산시 상록구 화랑로 501, 305~306호 (성포동)",37.3206516,126.8438326,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:30,-,-,,2020-09-25
이가편한필치과의원,응급의료기관 이외 > 치과의원,031-407-2275,"경기도 안산시 상록구 도매시장로 20, 303~304호 (이동)",37.3086803,126.8582396,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~13:00,-,-,,2020-09-25
닥터조치과의원,응급의료기관 이외 > 치과의원,031-438-2119,"경기도 안산시 상록구 해양1로 34, 401~402호 (사동, 푸르지오7차상가)",37.2958885,126.8180503,10:00~19:00,10:00~19:00,10:00~19:00,14:00~21:00,10:00~19:00,10:00~16:00,-,-,,2020-09-25
노동주치과의원,응급의료기관 이외 > 치과의원,031-416-2875,"경기도 안산시 상록구 도매시장로 90, 1층 (일동)",37.3135492,126.8632516,09:30~19:00,09:30~19:00,09:30~19:00,13:30~21:00,09:30~19:00,09:30~13:00,-,-,,2020-09-25
두리서울치과의원,응급의료기관 이외 > 치과의원,031-480-2884,경기도 안산시 상록구 예술광장로 35 (월피동),37.3280631,126.8477382,10:00~18:30,10:00~21:00,10:00~18:30,10:00~21:00,10:00~18:30,10:00~16:00,-,-,,2020-09-25
백치과의원,응급의료기관 이외 > 치과의원,031-408-2275,"경기도 안산시 상록구 상록수로 54, 301호 (본오동, 대동빌딩)",37.3021484,126.8659601,10:00~20:00,10:00~19:00,10:00~19:00,10:00~20:00,10:00~19:00,10:00~13:00,-,-,,2020-09-25
아름다운치과의원,응급의료기관 이외 > 치과의원,031-502-7528,"경기도 안산시 상록구 샘골로 105 , 2층 (본오동)",37.2931031,126.8626819,10:00~18:30,10:00~18:30,10:00~21:00,10:00~18:30,10:00~18:30,10:00~13:00,-,-,,2020-09-25
상록수보건소,응급의료기관 이외 > 보건소,031-481-5551,경기도 안산시 상록구 차돌배기로1길 5 (사동),37.3009783,126.8449019,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,,2020-09-25
자미한의원,응급의료기관 이외 > 한의원,031-408-8877,"경기도 안산시 상록구 샘골로 139, 201호 (본오동, 광림빌딩)",37.2963713,126.8628772,09:30~19:00,09:30~19:00,09:30~19:00,09:30~14:00,09:30~19:00,09:30~16:00,-,-,,2020-09-25
이동훼미리치과의원,응급의료기관 이외 > 치과의원,031-502-2800,"경기도 안산시 상록구 도매시장로 43, 2층 (이동)",37.3105774,126.8595906,10:00~19:00,10:00~21:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~14:00,-,-,,2020-09-25
한대경성한의원,응급의료기관 이외 > 한의원,031-419-6216,"경기도 안산시 상록구 광덕1로 376 303호 (이동, 한대빌딩)",37.3077308,126.8510169,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~14:00,-,09:30~14:00,,2020-09-25
중화당한의원,응급의료기관 이외 > 한의원,031-419-9944,경기도 안산시 상록구 본오로 133 202호,37.2975601,126.8651559,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~14:00,-,-,,2020-09-25
제일한의원,응급의료기관 이외 > 한의원,031-418-9898,"경기도 안산시 상록구 감골1로 29, 202호 (사동, 월드크리닉)",37.2876222,126.8508786,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~14:00,-,-,,2020-09-25
굿페이스치과의원,응급의료기관 이외 > 치과의원,031-406-2884,경기도 안산시 상록구 도매시장로 31 (이동),37.3098332,126.858846,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~13:00,-,-,,2020-09-25
늘푸른치과의원,응급의료기관 이외 > 치과의원,031-438-2804,경기도 안산시 상록구 중보로 47 (이동),37.3074723,126.8518483,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:00,-,-,,2020-09-25
대한치과의원,응급의료기관 이외 > 치과의원,031-409-9931,경기도 안산시 상록구 샘골로 143 (본오동),37.2965832,126.8627998,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~14:00,-,-,,2020-09-25
미치과의원,응급의료기관 이외 > 치과의원,031-485-2275,경기도 안산시 상록구 안산천동로1길 29 (월피동),37.3309216,126.8502785,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~13:00,-,-,,2020-09-25
믿음치과의원,응급의료기관 이외 > 치과의원,031-411-2800,경기도 안산시 상록구 안산천동로1길 7 (월피동),37.3322999,126.8482016,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~13:30,-,-,,2020-09-25
백내과의원,응급의료기관 이외 > 의원,031-408-0330,경기도 안산시 상록구 중보로 47 (이동),37.3074723,126.8518483,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,,2020-09-25
부모치과의원,응급의료기관 이외 > 치과의원,031-418-4843,경기도 안산시 상록구 선진로 112 (사동),37.2808693,126.8532528,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~12:00,-,-,,2020-09-25
동명한의원,응급의료기관 이외 > 한의원,031-407-1870,"경기도 안산시 상록구 샘골로 144, 203호 (본오동)",37.2965022,126.8633683,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,,2020-09-25
우성치과의원,응급의료기관 이외 > 치과의원,031-407-5932,"경기도 안산시 상록구 본오로 133, 201호 (본오동, 우성아파트상가)",37.297688,126.8653606,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~14:00,-,-,,2020-09-25
동안산치과의원,응급의료기관 이외 > 치과의원,031-403-2873,"경기도 안산시 상록구 월피로 88, 2층 (월피동, 동안산병원검진센타동)",37.335877,126.8530106,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,09:00~13:30,-,-,,2020-09-25
한일한의원,응급의료기관 이외 > 한의원,031-416-3690,"경기도 안산시 상록구 도매시장로 20, 2층 201, 202호 (이동)",37.3086803,126.8582396,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:00~13:00,-,-,,2020-09-25
자명한의원,응급의료기관 이외 > 한의원,031-407-0009,경기도 안산시 상록구 영화6길 24 (사동),37.2803506,126.8519808,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,,2020-09-25
장수한의원,응급의료기관 이외 > 한의원,031-409-0541,"경기도 안산시 상록구 샘골로 148, 202호 (본오동)",37.2969502,126.8633864,09:30~19:00,09:30~19:00,09:30~19:00,14:00~19:00,09:30~19:00,09:30~14:00,-,-,,2020-09-25
명성의원,응급의료기관 이외 > 의원,031-407-4406,"경기도 안산시 상록구 안산대학로 108, 2층 (일동)",37.3096339,126.8699087,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,,2020-09-25
청수한의원,응급의료기관 이외 > 한의원,031-439-0075,경기도 안산시 상록구 샘골로 54 (본오동),37.2887848,126.8640461,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~13:00,-,-,,2020-09-25
미서울치과의원,응급의료기관 이외 > 치과의원,031-406-9776,"경기도 안산시 상록구 샘골로 147, 202,203호 (본오동, 대산빌딩)",37.2969546,126.8627939,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~13:00,-,-,,2020-09-25
민들레치과의원,응급의료기관 이외 > 치과의원,031-419-8575,"경기도 안산시 상록구 초당로 50, 2층 (사동)",37.2846138,126.8529321,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,-,-,-,,2020-09-25
수암보건지소,응급의료기관 이외 > 보건지소,031-481-5889,경기도 안산시 상록구 원당골1길 23-3 (수암동),37.3643338,126.8772914,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,,2020-09-25
상록수한의원,응급의료기관 이외 > 한의원,031-407-9509,경기도 안산시 상록구 상록수로 54 (본오동),37.3021494,126.8659217,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,-,-,-,,2020-09-25
강한의원,응급의료기관 이외 > 한의원,031-483-4206,"경기도 안산시 상록구 화랑로 513 3층 11,14호 (성포동)",37.3218275,126.843836,09:30~18:00,09:30~18:00,09:30~18:00,-,09:30~18:00,09:30~13:30,-,-,,2020-09-25
상록도담한의원,응급의료기관 이외 > 한의원,031-413-6111,"경기도 안산시 상록구 월피로 78, 성포빌딩 1층 (월피동)",37.3215403,126.8485553,09:30~17:00,09:30~17:00,09:30~17:00,09:30~17:00,09:30~17:00,-,-,-,,2020-09-25
안산연세병원,응급의료기관 이외 > 병원,031-415-7515,"경기도 안산시 상록구 광덕1로 386, 303,401~406,408,501,603~605,7층호 (이동)",37.3082345,126.852394,10:00~17:00,10:00~17:00,10:00~17:00,10:00~17:00,10:00~17:00,-,-,-,,2020-09-25
편한e치과의원,응급의료기관 이외 > 치과의원,031-502-2804,경기도 안산시 상록구 항가울로 19 (사동),37.2837166,126.8471178,09:30~18:30,09:30~18:30,09:30~21:00,09:30~18:30,09:30~16:00,-,09:30~17:00,-,Y,2020-09-25
