약국명,대표전화,주소,월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영,데이터기준일자
선부약국,031-411-8578,"경기도 안산시 단원구 달미로 102, (선부동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,2020-09-25
에버그린약국,031-482-2876,"경기도 안산시 단원구 광덕서로 86, 안산법조타운 114호 (고잔동)",09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:30~16:00,-,09:00~21:00,2020-09-25
해맑은약국,031-486-7358,"경기도 안산시 단원구 광덕3로 168, 208-1호 (고잔동,월드타운)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,2020-09-25
이마트약국,031-492-0615,"경기도 안산시 단원구 중앙대로 397, 1층 (신길동, 이마트트레이더스 신길점)",10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,-,2020-09-25
단비약국,031-483-8275,"경기도 안산시 단원구 광덕4로 234, 121호 (고잔동, 천혜로데오프라자)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~16:00,-,-,2020-09-25
선부정약국,031-475-2852,"경기도 안산시 단원구 화정천서로 505, 1층 (선부동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,07:30~20:00,09:00~20:00,09:00~18:00,2020-09-25
시장약국,031-486-7033,경기도 안산시 단원구 원초로 30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,12:00~22:30,09:00~22:00,2020-09-25
중앙약국,031-411-3651,경기도 안산시 단원구 예술대학로 9,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,2020-09-25
한솔약국,031-8040-5800,경기도 안산시 단원구 원포공원1로 20,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~14:00,-,-,2020-09-25
허브약국,031-493-8777,"경기도 안산시 단원구 풍전로 37-9, 트리플렉스 에이단지 301동 138호 (원곡동)",08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,09:00~17:00,-,09:00~17:00,2020-09-25
구민사약국,031-403-2913,"경기도 안산시 단원구 화정천서로3길 7, (선부동)",09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,16:00~23:00,15:00~24:30,2020-09-25
단원상생약국,031-402-8259,"경기도 안산시 단원구 원포공원1로 19, 114, 115호 (초지동, 뉴스파월드타워)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,2020-09-25
원곡햇살약국,031-410-7839,"경기도 안산시 단원구 원초로 30, 308호 (원곡동, 보성프라자)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,09:00~13:00,-,2020-09-25
대학약국,031-401-8707,경기도 안산시 단원구 적금로 120,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,2020-09-25
선온누리약국,031-411-7533,경기도 안산시 단원구 광덕대로 174 (고잔동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,2020-09-25
에이스약국,031-405-7460,경기도 안산시 단원구 고잔로 54,08:00~17:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~17:00,-,-,2020-09-25
오층약국,031-483-3245,경기도 안산시 단원구 중앙대로 915,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-,2020-09-25
원곡메디칼약국,031-508-5400,경기도 안산시 단원구 원곡로 53-1,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,2020-09-25
유명약국,031-505-3718,경기도 안산시 단원구 선부로 243,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~16:30,-,09:00~18:00,2020-09-25
진주약국,031-439-1712,경기도 안산시 단원구 와동공원로 171,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-,2020-09-25
튼튼약국,031-410-8239,"경기도 안산시 단원구 보배4길 1, (고잔동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,2020-09-25
건강약국,031-403-3663,"경기도 안산시 단원구 석수로5길 8, 1층 (선부동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,-,-,2020-09-25
준약국,031-405-2086,경기도 안산시 단원구 예술대학로 17 (고잔동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,2020-09-25
팜프라자약국,070-881-5344,경기도 안산시 단원구 선부광장북로 67 (선부동) 수정한양아파트,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,-,-,-,2020-09-25
신길제일약국,031-495-0206,"경기도 안산시 단원구 도일로 60-15, 104호 (신길동, 센타프라자)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,-,-,-,2020-09-25
동의당약국,031-486-1146,"경기도 안산시 단원구 와동공원로 145, 1층 (와동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,09:00~21:00,2020-09-25
푸르지오약국,031-487-1218,"경기도 안산시 단원구 광덕4로 180, 122호 (고잔동,부원프라자)",09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,10:00~20:00,-,-,2020-09-25
대영약국,031-405-7574,"경기도 안산시 단원구 초지동로 7, 103호 (초지동,한남스포랜드)",10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,09:00~17:00,09:00~17:00,-,2020-09-25
웰빙약국,031-493-1594,"경기도 안산시 단원구 중앙대로 457, 1층 (원곡동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,12:00~22:00,-,2020-09-25
대부약국,032-886-2087,경기도 안산시 단원구 대부중앙로 103 (대부북동),08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:00~19:00,-,-,2020-09-25
수정약국,031-411-0185,"경기도 안산시 단원구 원초로 30, 보성프라자 4층 408호 (원곡동)",09:00~14:00,09:00~14:00,09:00~14:00,09:00~14:00,09:00~14:00,09:00~14:00,-,-,2020-09-25
행복한온누리약국,031-485-1995,"경기도 안산시 단원구 광덕동로 55, 1층 108,109호 (고잔동, 21세기프라자)",09:00~12:00,09:00~12:00,09:00~12:00,09:00~12:00,09:00~12:00,08:30~17:30,09:30~12:00,-,2020-09-25
제일약국,031-484-4004,"경기도 안산시 단원구 라성로 36 (원곡동, 반월종합상가 B동)",09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,-,-,2020-09-25
안산2층약국,070-4240-8094,"경기도 안산시 단원구 산단로 278, A동 211-1호 (원시동, 반월하이테크빌리지)",08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~13:00,-,-,2020-09-25
대성약국,031-494-2057,"경기도 안산시 단원구 화랑로 30, (원곡동)",09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~17:00,09:00~17:00,-,2020-09-25
하나약국,031-501-0448,경기도 안산시 상록구 해양1로 15,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~21:00,-,-,2020-09-25
늘봄약국,031-407-4346,"경기도 안산시 상록구 도매시장로 32 (이동, 2층 일부)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,2020-09-25
자이약국,031-407-4324,"경기도 안산시 상록구 해양4로 31, P동 141호 (사동, 그랑시티자이)",10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,2020-09-25
메디칼종합온누리약국,031-502-6155,"경기도 안산시 상록구 구룡로 88, 1층 (일동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-,2020-09-25
상록바른약국,031-504-0301,"경기도 안산시 상록구 광덕1로 354, 브라이튼빌오피스텔 1층 105호 (이동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,2020-09-25
자연온누리약국,031-401-0267,"경기도 안산시 상록구 예술광장1로 124, 1층 108호 (성포동, 선경프라자)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,2020-09-25
서연약국,031-417-6532,경기도 안산시 상록구 본오로 124 (본오동),10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,-,-,-,2020-09-25
상록수약국,070-8872-1010,"경기도 안산시 상록구 용신로 388, 유니온프라자 1층 101호 (본오동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,2020-09-25
곰온누리약국,031-406-4071,"경기도 안산시 상록구 샘골로 190, 국제프라자 105-2호 (본오동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,2020-09-25
국희약국,031-407-3543,경기도 안산시 상록구 석호로 164 (사동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,09:00~18:00,09:00~18:00,2020-09-25
동남약국,031-419-7575,"경기도 안산시 상록구 샘골로 147, 1층 105호 (본오동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~20:00,-,09:00~20:00,2020-09-25
수약국,031-482-2483,"경기도 안산시 상록구 예술광장로 31, 파크프라자 106호 (월피동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~15:30,-,-,2020-09-25
한일약국,031-401-5502,"경기도 안산시 상록구 월피로 31, 한양아파트 상가1동 101호 (월피동)",10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,09:00~22:00,-,-,2020-09-25
백화점약국,031-407-6077,"경기도 안산시 상록구 석호로 292, 1층 (본오동)",09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,08:00~23:00,09:00~22:00,09:00~21:00,2020-09-25
반월화성약국,031-502-0165,"경기도 안산시 상록구 건건3길 5, 105호(건건동,쎈타프라자)",08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~20:00,09:00~13:00,09:00~13:00,2020-09-25
민약국,031-406-1150,"경기도 안산시 상록구 샘골로 142, 103(일부)호 (본오동, 동보프라자)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-,2020-09-25
모닝약국,031-409-1010,경기도 안산시 상록구 본삼로 49,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~17:00,-,09:00~17:00,2020-09-25
메디팜한대약국,031-438-4181,"경기도 안산시 상록구 광덕1로 376, (이동)",08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,2020-09-25
메디팜요진약국,031-418-5351,경기도 안산시 상록구 감골1로 37,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:00,09:00~21:00,-,2020-09-25
메디팜건강약국,031-501-3007,경기도 안산시 상록구 용신로 393 (본오동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,2020-09-25
사람사랑약국,031-408-0894,"경기도 안산시 상록구 반석로 20, 2층 (본오동, 롯데마트상록점)",10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,-,2020-09-25
온누리다인약국,031-409-7076,경기도 안산시 상록구 반석로 79,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~18:00,-,-,2020-09-25
부곡라성약국,031-8044-8180,경기도 안산시 상록구 부곡로 130 (부곡동),08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~15:30,-,-,2020-09-25
중앙메디칼약국,031-415-9498,경기도 안산시 상록구 구룡로 85-1 (일동),08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~12:30,-,-,2020-09-25
상록레몬약국,031-416-3311,"경기도 안산시 상록구 광덕1로 362, 한양프라자 1층 111호 (이동)",08:30~18:30,08:30~18:30,08:30~13:00,08:30~18:30,08:30~18:30,08:30~13:00,-,-,2020-09-25
봄온누리약국,031-438-6282,경기도 안산시 상록구 건건로 122 204호,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,2020-09-25
올리브약국,031-501-0608,"경기도 안산시 상록구 상록수로 34, 1층(본오동,상록수아카데미타워(롯데슈퍼내))",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,09:00~13:00,2020-09-25
본오약국,031-501-7555,경기도 안산시 상록구 선암로 43 (본오동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,2020-09-25
녹십자약국,031-437-8080,경기도 안산시 상록구 건건1길 38,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,2020-09-25
이층종로약국,070-8865-4985,경기도 안산시 상록구 샘골로 140,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~16:00,-,-,2020-09-25
보세온누리약국,031-415-7755,경기도 안산시 상록구 광덕1로 355 (이동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,-,-,2020-09-25
샛별약국,031-485-7383,"경기도 안산시 상록구 화랑로 513, 1층 16-1, 16-2호 (성포동, 스타프라자)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,-,-,2020-09-25
경희참한약국,031-415-0012,경기도 안산시 상록구 석호로 197 (사동),11:00~21:00,11:00~21:00,11:00~21:00,11:00~21:00,11:00~21:00,-,-,-,2020-09-25
남경약국,031-437-7722,"경기도 안산시 상록구 도매시장로 105-1, (일동)",09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~15:00,-,-,2020-09-25
혜성온누리약국,031-408-8030,경기도 안산시 상록구 일동로 24,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~13:00,-,-,2020-09-25
수암약국,031-484-5875,경기도 안산시 상록구 수인로 2016,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,10:00~18:00,-,10:00~18:00,2020-09-25
송온누리약국,031-417-2747,경기도 안산시 상록구 각골로 70 (본오동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,2020-09-25
해바라기약국,031-415-0470,"경기도 안산시 상록구 샘골로 124, 101호 (본오동,동보프라자)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,09:00~14:00,09:00~13:00,2020-09-25
신정문약국,031-406-7123,경기도 안산시 상록구 도매시장로 4,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:30,-,-,2020-09-25
정약국,031-480-2852,"경기도 안산시 상록구 화랑로 514, 주공4단지아파트 1층 103, 104호 (성포동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,2020-09-25
정민약국,031-417-8160,경기도 안산시 상록구 부곡로 128 (부곡동),08:20~21:00,08:20~21:00,08:20~21:00,08:20~21:00,08:20~21:00,08:20~19:00,10:00~19:00,10:00~19:00,2020-09-25
수암마트약국,031-485-5775,경기도 안산시 상록구 수암1길 7,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,2020-09-25
신화약국,070-4193-0001,"경기도 안산시 상록구 샘골로 38, 1층 101-102호 (본오동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-,2020-09-25
사랑의약국,031-419-0071,"경기도 안산시 상록구 안산대학로 108, 웰빙타워 1층 (일동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,09:00~22:00,2020-09-25
그린마트약국,031-405-0311,경기도 안산시 상록구 충장로 427 (성포동),10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,2020-09-25
영동약국,031-418-3112,경기도 안산시 상록구 용신로 382 (본오동),09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,08:30~25:00,09:00~25:00,09:00~23:00,2020-09-25
본약국,031-419-6780,경기도 안산시 상록구 석호로 320 (본오동),09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,-,-,09:00~21:00,2020-09-25
위성숙모어모아새한양약국,031-407-5823,경기도 안산시 상록구 본삼로 38 (본오동),09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,2020-09-25
옵티마동아약국,031-407-8853,"경기도 안산시 상록구 본오로 46-1, 1층 (본오동)",09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~20:00,-,-,2020-09-25
365편한약국,031-407-1025,"경기도 안산시 상록구 샘골로 150, 동성빌딩 205호 (본오동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~15:00,09:00~13:00,09:00~13:00,2020-09-25
연두약국,031-502-3400,"경기도 안산시 상록구 광덕산2로 34, 1층 (월피동)",08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~13:00,-,-,2020-09-25
인영약국,031-417-3005,"경기도 안산시 상록구 석호로 312, 101호(본오동,대신빌딩)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,2020-09-25
편한약국,031-417-6630,경기도 안산시 상록구 샘골로 140 (본오동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,2020-09-25
신안프라자약국,031-408-3206,경기도 안산시 상록구 반석로 54,-,-,09:30~20:30,09:30~20:30,09:30~20:30,09:30~20:30,10:00~12:00,-,2020-09-25
새이화약국,031-502-7991,경기도 안산시 상록구 건건로 117,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,-,-,2020-09-25
성포라성약국,031-480-1057,경기도 안산시 상록구 화랑로 501 (성포동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,09:00~13:30,09:00~18:00,2020-09-25
경동메디칼약국,031-487-1688,경기도 안산시 상록구 예술광장1로 126,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~15:00,-,-,2020-09-25
새천년건강약국,031-419-5516,"경기도 안산시 상록구 도매시장로 41 (이동, 장현빌딩)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,-,2020-09-25
초당약국,031-419-3773,"경기도 안산시 상록구 초당로 54, 1층 (사동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,2020-09-25
안산우리약국,031-405-1258,"경기도 안산시 상록구 예술광장1로 16, 406호(월피동,칠성프라자)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,2020-09-25
장미약국,031-418-5486,경기도 안산시 상록구 중보로 47,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~18:00,-,-,2020-09-25
한샘약국,031-409-5529,"경기도 안산시 상록구 본오로 64, (본오동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,2020-09-25
안산프라자약국,031-480-9379,"경기도 안산시 상록구 예술광장1로 124, 114호(성포동,경동프라자)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,2020-09-25
초원약국,031-401-3321,"경기도 안산시 상록구 예술광장1로 52, 114호 (월피동,뉴월드프라자)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~13:00,-,-,2020-09-25
정다운온누리약국,031-415-8275,"경기도 안산시 상록구 도매시장로 41, 1층 (이동,장현빌딩)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~16:00,-,-,2020-09-25
송온누리약국,070-4250-5993,경기도 안산시 상록구 각골로 70,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,-,-,2020-09-25
성포대한약국,031-481-8975,"경기도 안산시 상록구 예술광장1로 124, 선경프라자 1층 105,106호 (성포동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~17:00,09:00~17:00,09:00~13:00,2020-09-25
상록메디칼약국,031-407-8270,경기도 안산시 상록구 석호로 288,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~16:00,-,-,2020-09-25
다정약국,031-408-4696,경기도 안산시 상록구 샘골로 172 (본오동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-,2020-09-25
일동중앙약국,031-419-3900,경기도 안산시 상록구 구룡로 15,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~20:00,-,-,2020-09-25
한대프라자약국,031-409-7533,"경기도 안산시 상록구 광덕1로 341, 제스트3 1층 111~113호 (이동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,08:00~22:00,-,2020-09-25
일등온누리약국,031-406-4312,"경기도 안산시 상록구 석호로 162, 1층 (사동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~21:30,09:00~21:30,-,2020-09-25
정성약국,031-416-6272,경기도 안산시 상록구 부곡로 28 (부곡동),09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~17:30,-,-,2020-09-25
에덴동산약국,031-501-7176,경기도 안산시 상록구 항가울로 229,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,-,-,-,2020-09-25
보룡약국,031-409-4626,"경기도 안산시 상록구 평안로1길 14 (사동, 삼성빌딩)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~21:00,-,-,2020-09-25
삼성홈플러스중앙약국,031-401-1967,경기도 안산시 상록구 충장로 432,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~24:00,09:00~23:00,10:00~22:30,2020-09-25
우리약국,031-415-7884,"경기도 안산시 상록구 선진로 112, 105호(사동,본오2차아파트상가)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,2020-09-25
동산온누리약국,031-419-1603,경기도 안산시 상록구 선암로 39 1층 (본오동) (본오동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,2020-09-25
은아약국,031-419-3112,경기도 안산시 상록구 상록수로 16,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,10:00~20:00,-,2020-09-25
상록백제약국,031-409-7300,"경기도 안산시 상록구 본삼로 51, 107,108,109호 (본오동, 리치스빌딩)",09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:00~22:00,09:00~21:00,09:00~21:00,2020-09-25
동아온누리약국,031-417-3134,"경기도 안산시 상록구 상록수로 54 113호,114호 (본오동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~19:00,09:00~19:00,09:00~02:30,2020-09-25
푸른약국,031-484-5320,"경기도 안산시 상록구 광덕1로 376, 301호(이동,한대프라자)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~14:00,-,-,2020-09-25
다온약국,031-411-8276,"경기도 안산시 상록구 월피로 92 , 1층 (월피동)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,-,-,-,2020-09-25
부강약국,031-501-7575,경기도 안산시 상록구 본오로 55 (본오동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,2020-09-25
지리산약국,031-409-5596,"경기도 안산시 상록구 부곡로 127, 1층 (부곡동)",08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~16:00,-,-,2020-09-25
나을약국,031-407-8707,경기도 안산시 상록구 성호로7길 18,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,-,2020-09-25
다농약국,031-403-7120,경기도 안산시 상록구 예술광장로 1,10:30~18:00,10:30~18:00,10:30~18:00,10:30~18:00,10:30~18:00,10:30~20:00,10:30~20:00,-,2020-09-25
시장약국,031-408-8011,경기도 안산시 상록구 충장로 312,07:00~18:30,07:00~18:30,07:00~18:30,07:00~18:30,07:00~18:30,07:00~17:30,-,-,2020-09-25
월드온누리약국,031-408-6015,경기도 안산시 상록구 감골1로 29 (사동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,-,-,2020-09-25
조은약국,031-411-9570,경기도 안산시 상록구 항가울로 14-1 (사동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~14:00,-,-,2020-09-25
종로약국,031-402-9349,경기도 안산시 상록구 월피로1길 1-1,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~20:00,08:30~20:00,-,2020-09-25
하늘약국,031-502-1090,경기도 안산시 상록구 건건1길 27,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~16:00,-,-,2020-09-25
한사랑약국,031-319-8799,경기도 안산시 상록구 샘골로 113,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-,2020-09-25
열린약국,031-415-5353,"경기도 안산시 상록구 석호로 216, 1층 (사동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~15:00,-,-,2020-09-25
조은온누리약국,031-413-8910,"경기도 안산시 상록구 예술광장로 35 (월피동, 에스엘타운)",09:00~20:00,09:00~21:00,09:00~20:00,09:00~21:00,09:00~20:00,09:00~13:00,-,-,2020-09-25
햇빛온누리약국,031-409-0075,"경기도 안산시 상록구 도매시장로 100, 1층 (일동)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~17:00,-,-,2020-09-25
중앙프라자약국,031-406-7676,경기도 안산시 상록구 구룡로 85 (일동),08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~13:00,-,-,2020-09-25
사랑약국,031-419-7695,경기도 안산시 상록구 고목로3길 25 (본오동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,09:00~13:00,2020-09-25
